stimulus_id,condition,stimulus,pPMI_lag2
243sentences.0,lowPMI_random,encourages the beekeeping of habitats conservation local.,0.8901498188833662
243sentences.1,lowPMI_random,in that pollen to is plants every beekeeper's conserve produce interest it local.,0.7098729381755107
243sentences.2,lowPMI_random,agriculture cleared as not crops make a that of vegetation for form passive does be native way it to require.,0.7301165775314643
243sentences.3,lowPMI_random,kill the beekeepers discourage pesticides of use could also on honeybees crops they the because.,0.8942151838917086
243sentences.4,lowPMI_random,worth the artisanal go their for extremes is beekeepers craft effort but product to their.,0.5339366644151542
243sentences.5,lowPMI_random,quantity over consistency honey-making emphasizes and and character quality artisanal.,0.9059103309856842
243sentences.6,lowPMI_random,the beekeepers their finest of honeybees to produce become honey micromanagers.,1.0582979542712183
243sentences.7,lowPMI_random,when and scout the know ways extract fields the flows to best they nectar honey select.,0.8499720337678408
243sentences.8,lowPMI_random,hum the as 40000 the air the hive fills beekeeper opens bees of the deep.,1.1625077438974905
243sentences.9,lowPMI_random,supplies beekeeper the stores nursery pollen and checks honey the bee.,1.23217689972619
243sentences.10,lowPMI_random,they're arms they bare bees hands but crawl his don't sting across and because gentle.,0.9330049259717624
243sentences.11,lowPMI_random,i'm exams about recurring a though even i in longer have college dream no.,0.8163245693989842
243sentences.12,lowPMI_random,to my day i've of the and i final it's gone in my class dream exam never suddenly realize.,0.6883808603544935
243sentences.13,lowPMI_random,of assignments any even i've done reading the never.,0.5035851009880582
243sentences.14,lowPMI_random,other i who nightmare many same know the have people.,0.3583425084325215
243sentences.15,lowPMI_random,night study write morning their the experience the in participants to from dream each had previous down.,0.9119707150740052
243sentences.16,lowPMI_random,any intensity they dream recalled recorded if its each and emotional described and they dreams.,0.6111240303163182
243sentences.17,lowPMI_random,a such a each dream a assigned category participants bad nightmare dream as or flying then to dream a.,1.192226309802374
243sentences.18,lowPMI_random,our awake we as sleep night while we active are are as when every minds.,1.106989214183289
243sentences.19,lowPMI_random,we throughout cycles in night dream ninety minutes each the about of.,0.7570438011872037
243sentences.20,lowPMI_random,fill feelings images can and strange our of characters dreams places combinations stories and.,1.045771181013962
243sentences.21,lowPMI_random,bad i when start to went to playing worse from decided cards things.,0.7588485269136612
243sentences.22,lowPMI_random,close i and already to something it to i had had do gambling was spent $10000 doing.,0.7601682182593764
243sentences.23,lowPMI_random,of friends sick watching savings gamble my away were me my.,0.8334010154554318
243sentences.24,lowPMI_random,have horror a hardest after the money did was part leaving i losing the of not casino.,0.7249801731268731
243sentences.25,lowPMI_random,of by to good gambling data come social and hard on the are legalized economic effects.,0.6850692686654822
243sentences.26,lowPMI_random,likely some indicate casino a having studies gambling problems more that makes nearby.,0.9654102978005464
243sentences.27,lowPMI_random,also with marriage be and problems gambling may personal associated bankruptcies.,0.9354179977277688
243sentences.28,lowPMI_random,past of gambling been the expansion generation there a legalized has over dramatic.,0.8628055141579101
243sentences.29,lowPMI_random,most well states instituted casinos lotteries and as have have many.,0.8833190843023044
243sentences.30,lowPMI_random,has controversial business gambling very but become big.,0.9434823699741112
243sentences.31,lowPMI_random,a wind the in kitchen house hurricane shattering the shook from the the window.,1.088423585419371
243sentences.32,lowPMI_random,the slammed some surrendered the door grabbed food we ran the in and hurricane kitchen to.,0.8041930022327227
243sentences.33,lowPMI_random,be was from house foundation would ripped afraid our i its.,0.22806962467277336
243sentences.34,lowPMI_random,huddled that house the fell we wind with the later asleep the night shaking on sofa.,0.8100542702730463
243sentences.35,lowPMI_random,houses limbs can hurricanes their off foundations off trees suck of tear and.,0.7730909855639188
243sentences.36,lowPMI_random,floods trigger mudslides dump heavy and that can rains they.,0.8792320190271026
243sentences.37,lowPMI_random,wall land lurches hurricanes ocean can onto a storm that also bring water of surge a.,0.6510668962829774
243sentences.38,lowPMI_random,scientists hurricanes use methods of to look ancient several evidence for.,0.9721139080232069
243sentences.39,lowPMI_random,coastal of lakes the deposited bottoms of windblown storms at strongest beach sand layers the.,1.3012695228334858
243sentences.40,lowPMI_random,trees drenched passing their of each rings in preserve a hurricanes record storm growth by.,0.9691165978606892
243sentences.41,lowPMI_random,different ice the have preferences world exported but american around cream is different countries.,0.4922338762968884
243sentences.42,lowPMI_random,their cream people many delicacies flavored enjoy with local ice.,1.4123322484731908
243sentences.43,lowPMI_random,with and ice places is cream mangos some tropical topped vanilla fresh bananas in.,1.299676892226484
243sentences.44,lowPMI_random,a ice making child home as remember cream at i.,0.4947495866034719
243sentences.45,lowPMI_random,turning tub poured to cream it a to the mixture then into expose cold we crank the frozen start the.,0.8623343934948724
243sentences.46,lowPMI_random,froze crank more couldn't it hand enough that turn any i eventually the.,0.3747719070985479
243sentences.47,lowPMI_random,freezer i then the the container to half-frozen ice harden into of put cream.,1.0925173071849101
243sentences.48,lowPMI_random,cream mixture a up of cream and milk flavorings to sugar is whipped-in or ice air half.,1.2676913364849498
243sentences.49,lowPMI_random,silky the in is cream and butterfat it smooth and milk makes what.,1.03835683680749
243sentences.50,lowPMI_random,high-priced cream is premium with butterfat flavorings natural loaded ice and.,0.968368879013638
243sentences.51,lowPMI_random,hurt lawn chair riding when the i the my makes use mower uncomfortable back.,1.2816215165799916
243sentences.52,lowPMI_random,in machine to levers i of control me two the the use front.,0.9041861481975304
243sentences.53,lowPMI_random,lawn grass each the the precisely blade sever underneath of blades sharp mower.,1.5008746361442045
243sentences.54,lowPMI_random,has is the mowing me a patience taught task it long lawn and.,0.666727181471192
243sentences.55,lowPMI_random,blades height an a cut lawn even a machine to mower is grass that with revolving.,0.9578101899809236
243sentences.56,lowPMI_random,machine have by be or muscle motor blades may the powered a may the.,0.6905652564760499
243sentences.57,lowPMI_random,for engine a source the mowers small is power gas common most lawn.,1.1754024527089708
243sentences.58,lowPMI_random,create do environment emissions not the lawnmowers they for better electric are because.,0.5786446545786654
243sentences.59,lowPMI_random,they less maintenance also are less run to and need expensive.,1.100379210853898
243sentences.60,lowPMI_random,electric use as lawn electricity as toaster ordinary much mowers an.,1.1478431414307502
243sentences.61,lowPMI_random,astronauts for long time spacewalks train their a.,1.0769768057500186
243sentences.62,lowPMI_random,conducted much underwater of training is their.,0.7722392407735845
243sentences.63,lowPMI_random,in in 10 will hours to for every the 8 floating they may space spend pool spend hour they.,0.7473921078598824
243sentences.64,lowPMI_random,practice construction repair station outside be of perform able space to on to and work the the astronauts.,0.9896786180821806
243sentences.65,lowPMI_random,and of shuttle as are commanders have always many test pilots flights backgrounds the pilots military.,1.0656102271271852
243sentences.66,lowPMI_random,space can and are as run trained in doctors experiments scientists engineers astronauts other who.,1.0225525416896089
243sentences.67,lowPMI_random,early crews all much now diverse young more but are astronauts men were.,0.7251053764508856
